Dataset,PhosSight,Fine-tuned_PhosSight,PFly,Fine-tuned_PFly,DeepDetect,Fine-tuned_DeepDetect,Original_DeepDetect,Fine-tuned_Original_DeepDetect
DeepDetect_ecoli.csv,0.9582,0.9815,0.9436,0.9740,0.9498,0.9793,0.9580,0.9794
DeepDetect_human.csv,0.8929,0.9290,0.8737,0.8737,0.8784,0.9227,0.8835,0.9227
DeepDetect_mouse.csv,0.9402,0.9623,0.9250,0.9250,0.9353,0.9598,0.9354,0.9591
DeepDetect_yeast.csv,0.9106,0.9478,0.8931,0.8931,0.9036,0.9431,0.9036,0.9421
DeepRescore2_HCC.csv,0.8605,0.9267,0.8252,0.8769,0.8417,0.9069,0.7833,0.9000
DeepRescore2_label_free.csv,0.8629,0.9204,0.8214,0.8442,0.8439,0.9015,0.7509,0.8691
DeepRescore2_UCEC.csv,0.8852,0.9623,0.8406,0.8525,0.8664,0.9483,0.7852,0.9400 
