Dataset,Dataset_Type,Model,AUC,Accuracy,Precision,Recall,F1_Score,Specificity,MCC
DeepDetect_ecoli,non_phosphorylation,PhosSight_finetuned,0.9814380090423308,0.942928969409831,0.879932502596054,0.9126278944534196,0.8959820248480043,0.9540980894880491,0.8569475869771335
DeepDetect_human,non_phosphorylation,PhosSight_finetuned,0.9289777903050233,0.9426168738129352,0.5063458051755398,0.2217410134257254,0.3084182520957783,0.9867614947355393,0.3097871502326471
DeepDetect_mouse,non_phosphorylation,PhosSight_finetuned,0.9622679166810408,0.9251344131471274,0.6741353056341092,0.8123197903014416,0.7368045649072753,0.9418433108160572,0.6977019322510586
DeepDetect_yeast,non_phosphorylation,PhosSight_finetuned,0.947761387794604,0.9091914768373566,0.6375448536355052,0.6703868456589086,0.6535535206086771,0.9441719754487012,0.6015903170777899
DeepRescore2_HCC,phosphorylation,PhosSight_finetuned,0.9266870238953848,0.8927027766379428,0.6672212978369384,0.3738540425752318,0.4792033195020747,0.9716341115567357,0.44684570337804047
DeepRescore2_label_free,phosphorylation,PhosSight_finetuned,0.9204040944512348,0.932047995077428,0.6186046511627907,0.317338282078473,0.4194848431750482,0.9835938021030167,0.41183414752955794
DeepRescore2_UCEC,phosphorylation,PhosSight_finetuned,0.9622611324158832,0.9368774843076167,0.6151565684639615,0.619865571321882,0.6175020924393193,0.9652693008711938,0.5831079739542705
