Model,Dataset_Type,Dataset,AUC,Accuracy,Precision,Recall,F1_Score,Specificity,MCC
PhosSight V2,non_phosphorylation,DeepDetect_ecoli,0.9582185175035582,0.881470648666288,0.714447767350727,0.9326871297792138,0.8091094890510949,0.8625920105863866,0.7388838697847341
PhosSight V2,non_phosphorylation,DeepDetect_human,0.8929452772510598,0.7525032488087701,0.1794803258162992,0.920889273855926,0.3004108927793541,0.7421917130051185,0.33868850181510657
PhosSight V2,non_phosphorylation,DeepDetect_mouse,0.940217029797433,0.8271438474283975,0.4243109561258882,0.9528505897771952,0.5871568894676802,0.8085255066387141,0.5626193158668006
PhosSight V2,non_phosphorylation,DeepDetect_yeast,0.9106441032133836,0.7842111405997066,0.3647379912663755,0.9288664707284136,0.5237967255705614,0.7630217878232538,0.49298768455258846
PhosSight V2,phosphorylation,DeepRescore2_HCC,0.8604511451856548,0.6423266311038162,0.2610245117923161,0.9332366499197182,0.4079470198675496,0.598071119585858,0.36029466238142394
PhosSight V2,phosphorylation,DeepRescore2_label_free,0.8629424845285608,0.6235668136601374,0.1647275235686364,0.949628844114528,0.2807540071324999,0.5962252406464664,0.2933895334524927
PhosSight V2,phosphorylation,DeepRescore2_UCEC,0.8851622479868148,0.5872250955355361,0.1645904702584864,0.9867438386855862,0.2821224576949768,0.5514439074962795,0.2956761267441098
